Height,Width,Weight
11.52,4.02,242
12.48,4.3056,290
12.3778,4.6961,340
12.73,4.4555,363
12.444,5.134,430
13.6024,4.9274,450
14.1795,5.2785,500
12.67,4.69,390
14.0049,4.8438,450
14.2266,4.9594,500
14.2628,5.1042,475
14.3714,4.8146,500
13.7592,4.368,500
13.9129,5.0728,340
14.9544,5.1708,600
15.438,5.58,600
14.8604,5.2854,700
14.938,5.1975,700
15.633,5.1338,610
14.4738,5.7276,650
15.1285,5.5695,575
15.9936,5.3704,685
15.5227,5.2801,620
15.4686,6.1306,680
16.2405,5.589,700
16.36,6.0532,725
16.3618,6.09,720
16.517,5.8515,714
16.8896,6.1984,850
18.957,6.603,1000
18.0369,6.3063,920
18.084,6.292,955
18.7542,6.7497,925
18.6354,6.7473,975
17.6235,6.3705,950
4.1472,2.268,40
5.2983,2.8217,69
5.5756,2.9044,78
5.6166,3.1746,87
6.216,3.5742,120
6.4752,3.3516,0
6.1677,3.3957,110
6.1146,3.2943,120
5.8045,3.7544,150
6.6339,3.5478,145
7.0334,3.8203,160
6.55,3.325,140
6.4,3.8,160
7.5344,3.8352,169
6.9153,3.6312,161
7.3968,4.1272,200
7.0866,3.906,180
8.8768,4.4968,290
8.568,4.7736,272
9.485,5.355,390
8.3804,4.2476,270
8.1454,4.2485,270
8.778,4.6816,306
10.744,6.562,540
11.7612,6.5736,800
12.354,6.525,1000
6.8475,2.3265,55
6.5772,2.3142,60
7.4052,2.673,90
8.3922,2.9181,120
8.8928,3.2928,150
8.5376,3.2944,140
9.396,3.4104,170
9.7364,3.1571,145
10.3458,3.6636,200
11.088,4.144,273
11.368,4.234,300
2.112,1.408,5.9
3.528,1.9992,32
3.824,2.432,40
4.5924,2.6316,51.5
4.588,2.9415,70
5.2224,3.3216,100
5.1992,3.1234,78
5.6358,3.0502,80
5.1376,3.0368,85
5.082,2.772,85
5.6925,3.555,110
5.9175,3.3075,115
5.6925,3.6675,125
6.384,3.534,130
6.11,3.4075,120
5.64,3.525,120
6.11,3.525,130
5.875,3.525,135
5.5225,3.995,110
5.856,3.624,130
6.792,3.624,150
5.9532,3.63,145
5.2185,3.626,150
6.275,3.725,170
7.293,3.723,225
6.375,3.825,145
6.7334,4.1658,188
6.4395,3.6835,180
6.561,4.239,197
7.168,4.144,218
8.323,5.1373,300
7.1672,4.335,260
7.0516,4.335,265
7.2828,4.5662,250
7.8204,4.2042,250
7.5852,4.6354,300
7.6156,4.7716,320
10.03,6.018,514
10.2565,6.3875,556
11.4884,7.7957,840
10.881,6.864,685
10.6091,6.7408,700
10.835,6.2646,700
10.5717,6.3666,690
11.1366,7.4934,900
11.1366,6.003,650
12.4313,7.3514,820
11.9286,7.1064,850
11.73,7.225,900
12.3808,7.4624,1015
11.135,6.63,820
12.8002,6.8684,1100
11.9328,7.2772,1000
12.5125,7.4165,1100
12.604,8.142,1000
12.4888,7.5958,1000
5.568,3.3756,200
5.7078,4.158,300
5.9364,4.3844,300
6.2884,4.0198,300
7.29,4.5765,430
6.396,3.977,345
7.28,4.3225,456
6.825,4.459,510
7.786,5.1296,540
6.96,4.896,500
7.792,4.87,567
7.68,5.376,770
8.9262,6.1712,950
10.6863,6.9849,1250
9.6,6.144,1600
9.6,6.144,1550
10.812,7.48,1650
1.7388,1.0476,6.7
1.972,1.16,7.5
1.7284,1.1484,7
2.196,1.38,9.7
2.0832,1.2772,9.8
1.9782,1.2852,8.7
2.2139,1.2838,10
2.2139,1.1659,9.9
2.2044,1.1484,9.8
2.0904,1.3936,12.2
2.43,1.269,13.4
2.277,1.2558,12.2
2.8728,2.0672,19.7
2.9322,1.8792,19.9
